record_type,source_artifact_path,source_id,benchmark_id,search_id,candidate_id,qualified_id,interface_id,class_label,current_quotient_size,predictive_quotient_size,max_fiber_size,witness_count,discrepancy_metric_value,loop_action_score_current_quotient,loop_action_score_predictive_quotient,survival_fraction,threshold,meets_threshold,support_size,interface_count,carrier_family,route_update_family,observable_family,continuation_catalog_family,flat_count,dissipative_count,coherent_candidate_count,nonflat_count,shortlist_count,cluster_id,distinctness_kind
discovery_shortlist_robustness,artifacts/results/discovery/cyclic_memory_small.shortlist_robustness.json,cyclic_memory_small:cand_0002,,cyclic_memory_small,cand_0002,cyclic_memory_small:cand_0002,i0,coherent_candidate,,,,1,1.0,,1.0,0.5,0.5,True,,,,,,,,,,,,,
discovery_shortlist_robustness,artifacts/results/discovery/cyclic_memory_small.shortlist_robustness.json,cyclic_memory_small:cand_0006,,cyclic_memory_small,cand_0006,cyclic_memory_small:cand_0006,i0,coherent_candidate,,,,1,1.0,,1.0,0.75,0.5,True,,,,,,,,,,,,,
discovery_space,artifacts/results/discovery/multi_space.discovery.json,fixed_support_core_small,,fixed_support_core_small,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,,
discovery_space,artifacts/results/discovery/multi_space.discovery.json,cyclic_memory_small,,cyclic_memory_small,,,,,,,,,,,,,,,,,,,,,0,0,8,8,4,,
discovery_space,artifacts/results/discovery/multi_space.discovery.json,groupoid_probe_small,,groupoid_probe_small,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,,
discovery_promoted_exemplar,artifacts/results/discovery/promoted_exemplars.json,cyclic_memory_small:cand_0006,,cyclic_memory_small,cand_0006,cyclic_memory_small:cand_0006,i0,coherent_candidate,,,,,1.0,,1.0,0.75,0.5,True,,,,,,,,,,,,cluster_003,singleton
discovery_promoted_exemplar,artifacts/results/discovery/promoted_exemplars.json,cyclic_memory_small:cand_0001,,cyclic_memory_small,cand_0001,cyclic_memory_small:cand_0001,i0,coherent_candidate,,,,,1.0,,1.0,0.625,0.5,True,,,,,,,,,,,,cluster_001,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,cyclic_memory_small:cand_0000,,cyclic_memory_small,cand_0000,cyclic_memory_small:cand_0000,i0,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,2,2,cyclic_z2,binary_swap,support_indicator_basis,forward_plus_loop,,,,,,cluster_000,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,cyclic_memory_small:cand_0001,,cyclic_memory_small,cand_0001,cyclic_memory_small:cand_0001,i0,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,2,2,cyclic_z2,binary_swap,support_indicator_basis,two_step_with_loop,,,,,,cluster_001,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,cyclic_memory_small:cand_0002,,cyclic_memory_small,cand_0002,cyclic_memory_small:cand_0002,i0,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,2,2,cyclic_z2,cyclic_shift,support_indicator_basis,forward_plus_loop,,,,,,cluster_002,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,cyclic_memory_small:cand_0006,,cyclic_memory_small,cand_0006,cyclic_memory_small:cand_0006,i0,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,2,2,cyclic_z3,cyclic_shift,support_indicator_basis,forward_plus_loop,,,,,,cluster_003,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,groupoid_probe_small:cand_0000,,groupoid_probe_small,cand_0000,groupoid_probe_small:cand_0000,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,cyclic_z2,binary_swap,support_indicator_basis,forward_plus_loop,,,,,,cluster_004,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,groupoid_probe_small:cand_0001,,groupoid_probe_small,cand_0001,groupoid_probe_small:cand_0001,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,cyclic_z2,binary_swap,paired_partition,forward_plus_loop,,,,,,cluster_005,singleton
discovery_dedup_member,artifacts/tables/discovery_multi_space_dedup.csv,groupoid_probe_small:cand_0004,,groupoid_probe_small,cand_0004,groupoid_probe_small:cand_0004,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,pair_groupoid_2,binary_swap,support_indicator_basis,forward_plus_loop,,,,,,cluster_006,singleton
discovery_promotion_robustness,artifacts/results/discovery/groupoid_probe_small.cand_0000.promotion_robustness.json,groupoid_probe_small:cand_0000,,groupoid_probe_small,cand_0000,groupoid_probe_small:cand_0000,i0,coherent_candidate,,,,,,,,0.0,0.5,False,,,,,,,,,,,,,
discovery_promotion_robustness,artifacts/results/discovery/groupoid_probe_small.cand_0001.promotion_robustness.json,groupoid_probe_small:cand_0001,,groupoid_probe_small,cand_0001,groupoid_probe_small:cand_0001,i0,coherent_candidate,,,,,,,,0.0,0.5,False,,,,,,,,,,,,,
discovery_promotion_robustness,artifacts/results/discovery/groupoid_probe_small.cand_0004.promotion_robustness.json,groupoid_probe_small:cand_0004,,groupoid_probe_small,cand_0004,groupoid_probe_small:cand_0004,i0,coherent_candidate,,,,,,,,0.0,0.5,False,,,,,,,,,,,,,
